Quelle est la valeur seuil de la glycémie à jeun (à deux reprises) pour diagnostiquer un diabète ?,"Une glycémie à jeun $> 1,26 g/L$ ($7 mmol/L$)."
"Selon l'ADA, à partir de quelle valeur une glycémie aléatoire (à toute heure) définit-elle le diabète ?","Une glycémie $> 2 g/L$ ($11,1 mmol/L$)."
Comment définit-on biologiquement une 'hyperglycémie modérée à jeun' ?,"Une glycémie à jeun comprise entre $1,10$ et $1,26 g/L$."
Quel est le critère glycémique pour une 'intolérance au glucose' 2 heures après l'ingestion de $75 g$ de glucose ?,"Une glycémie comprise entre $1,40$ et $2 g/L$."
Quelle proportion du diabète en France représente le diabète de type 1 ?,Environ $10\%$ des cas.
Quel est le mécanisme physiopathologique principal du diabète de type 1 ?,Une déficience absolue de sécrétion d'insuline.
Le diabète de type 2 résulte d'une anomalie de l'action de l'insuline appelée _____.,Insulino-résistance.
Quel est le délai moyen estimé entre l'apparition d'une hyperglycémie biologique et le diagnostic clinique du diabète de type 2 ?,Environ $10$ ans.
Quel est le facteur de risque majeur et indépendant du diabète de type 2 ?,L'obésité.
Pourquoi le diagnostic du diabète de type 2 est-il souvent retardé par rapport au type 1 ?,Parce qu'il est le plus souvent asymptomatique.
Citez les quatre signes cliniques cardinaux du syndrome polyuro-polydypsique rencontrés dans le type 1.,"Asthénie, amaigrissement, polyphagie et polydipsie/polyurie."
Quel organe produit l'insuline via ses cellules bêta de Langerhans ?,Le pancréas.
Quelle hormone hyperglycémiante est sécrétée par les cellules alpha du pancréas ?,Le glucagon.
Quel est l'effet de l'insuline sur la production hépatique de glucose ?,Elle diminue la production hépatique (inhibe la néoglucogénèse et la glycogénolyse).
Comment l'excès de glucose intracellulaire provoque-t-il une dysfonction cellulaire dans les parois artérielles ?,Par le débordement de la fonction mitochondriale et la production de métabolites toxiques.
Quelle est la principale cause de décès chez les patients diabétiques de type 2 ?,La maladie coronaire.
Pourquoi l'infarctus du myocarde est-il souvent qualifié de 'silencieux' chez le diabétique ?,À cause de la neuropathie autonome (dysautonomie) qui altère la perception de la douleur.
Quel est le niveau tensionnel optimal cible chez un diabétique pour éviter la progression des lésions ?,$130/80 mmHg$.
Quel risque anesthésique spécifique est lié à la gastroparésie diabétique ?,Le risque d'estomac plein (retard de vidange gastrique).
Quelle valeur biologique permet de surveiller l'équilibre glycémique sur les 3 derniers mois ?,L'hémoglobine glyquée ($HbA1c$).
Quels sont les trois critères biologiques d'une acidocétose diabétique ?,"Glycémie $> 2,50 g/L$, $pH < 7,25$ et Bicarbonates $< 13 mmol/L$."
Quel est le traitement prioritaire de l'acidocétose diabétique ?,Réhydratation par sérum salé isotonique et insuline à la seringue électrique.
Quelles sont les caractéristiques biologiques du coma hyperosmolaire ?,"Glycémie $> 6 g/L$, Osmolarité $> 350 mOsm/L$ et absence de corps cétoniques."
Quel médicament antidiabétique est principalement associé au risque d'acidose lactique ?,La Metformine (Biguanides).
Quel est le seuil glycémique définissant une hypoglycémie ?,"Une glycémie $< 0,60 g/L$."
Quel est le mode d'action principal des sulfamides hypoglycémiants (ex: Daonil) ?,Ils stimulent la sécrétion d'insuline par le pancréas.
Quelle consigne doit être donnée pour la Metformine avant une intervention chirurgicale majeure ?,Arrêt du traitement $24$ heures avant l'intervention.
Quel est le mode d'action de la Dapagliflozine ($FORXIGA^{\circledR}$) ?,"Inhibition du cotransporteur SGLT2 dans le tube proximal, entraînant une glycosurie."
Combien de temps avant une chirurgie doit-on idéalement arrêter les inhibiteurs de SGLT2 selon les recommandations ?,$72$ heures avant l'intervention.
Quel ion doit-on surveiller particulièrement lors d'un traitement prolongé par insuline à la seringue électrique ?,Le potassium ($K^{+}$).
Définition : Pression Artérielle Systolique (PAS),Pression régnant dans le système circulatoire à la fin de la systole ventriculaire.
Quel est le seuil de pression artérielle définissant l'HTA ?,$PAS > 140 mmHg$ et/ou $PAD > 90 mmHg$.
Quel système assure la régulation de la pression artérielle à court terme ?,Le système des barorécepteurs (carotidiens et aortiques) et le système nerveux autonome.
Quel est l'effet du système sympathique sur les vaisseaux sanguins ?,Une vasoconstriction.
Quel organe produit l'Angiotensinogène dans le système Rénine-Angiotensine-Aldostérone ?,Le foie.
"Quelle enzyme, produite par l'appareil juxtaglomérulaire du rein, transforme l'Angiotensinogène en Angiotensine I ?",La rénine.
Où est principalement produite l'Enzyme de Conversion qui transforme l'Angiotensine I en Angiotensine II ?,Dans les poumons.
Citez trois actions principales de l'Angiotensine II.,"Vasoconstriction, sécrétion d'Aldostérone et stimulation de la soif/ADH."
Quel est l'effet de l'Aldostérone sur le rein ?,Elle provoque une réabsorption de sodium ($Na^{+}$) et d'eau.
Quelle est la définition tensionnelle d'une HTA de Stade II ?,$PAS$ entre $160$ et $180 mmHg$ ou $PAD$ entre $100$ et $110 mmHg$.
Quelle est la différence entre une HTA essentielle et une HTA secondaire ?,"L'essentielle ($95\%$) n'a pas de cause unique identifiable, la secondaire est liée à une pathologie précise (ex: rénale, endocrine)."
Citez deux causes endocriniennes d'HTA secondaire.,Le phéochromocytome et l'hyperthyroïdie.
Quelle conséquence cardiaque majeure l'HTA chronique provoque-t-elle par augmentation de la post-charge ?,L'Hypertrophie Ventriculaire Gauche (HVG).
Quel trouble du rythme cardiaque est fréquemment favorisé par la dilatation de l'oreillette gauche liée à l'HTA ?,La Fibrillation Atriale (FA).
Quels sont les deux types d'AVC pouvant compliquer une HTA ?,L'AVC hémorragique (rupture de paroi) et l'AVC ischémique (athérosclérose/embole).
"Quelle est la première étape du traitement de l'HTA, avant les médicaments ?","Les règles hygiéno-diététiques (réduction du sel, sport, arrêt tabac/alcool)."
Citez les quatre grandes classes de médicaments antihypertenseurs utilisés en chronique.,"Diurétiques, Bêta-bloquants, Inhibiteurs calciques et bloqueurs du système Rénine-Angiotensine (IEC/ARA II)."
Quel est l'effet secondaire redouté à l'arrêt brutal des bêta-bloquants ?,Un effet rebond avec hypertension et tachycardie.
Pourquoi les IEC (Inhibiteurs de l'Enzyme de Conversion) peuvent-ils provoquer une toux sèche ?,À cause de l'accumulation de bradykinine qu'ils empêchent de dégrader.
Quelle est la différence de mécanisme entre un IEC et un ARA II (Sartan) ?,"L'IEC bloque la production d'Angiotensine II, l'ARA II bloque ses récepteurs."
Comment définit-on une 'Urgence Hypertensive' (HTA maligne) ?,"Une $PAD > 130 mmHg$ associée à des symptômes de souffrance viscérale (OAP, AVC, IDM)."
Quel est l'objectif de baisse tensionnelle dans l'urgence hypertensive non neurologique ?,Réduire la pression artérielle moyenne de $25\%$ ou atteindre une $PAD$ de $110 mmHg$ en $30$ à $60$ minutes.
Pourquoi ne faut-il pas baisser trop brutalement la tension en cas d'AVC ischémique initial ?,Pour maintenir une pression de perfusion cérébrale suffisante dans la zone de pénombre.
Quel antihypertenseur injectable est souvent privilégié en cas de syndrome coronarien aigu ?,Les dérivés nitrés (Lénitral).
Quelles sont les deux hormones pancréatiques régulant la glycémie ?,L'insuline (hypoglycémiante) et le glucagon (hyperglycémiante).
Vrai ou Faux : Le diabète de type 2 est une maladie auto-immune.,Faux (c'est le type 1).
Quel examen biologique systématique est recommandé chez une personne avec un syndrome métabolique pour dépister le diabète ?,La glycémie à jeun.
Citez une complication microvasculaire du diabète déjà présente chez $10$ à $30\%$ des patients au moment du diagnostic du type 2.,La rétinopathie diabétique.
Quelle est la définition de la pression pulsée ?,C'est la différence entre la PAS et la PAD ($PAS - PAD$).
Quel système hormonal assure la régulation de la pression artérielle à moyen et long terme ?,Le système Rénine-Angiotensine-Aldostérone.