Quelles sont les quatre fonctions principales de l'appareil digestif ?,"L'ingestion, la dégradation (digestion), l'absorption des nutriments et l'élimination des déchets."
Comment appelle-t-on les deux plans horizontaux délimitant les neuf régions abdominales ?,Le plan subcostal (ou transpylorique) et le plan intertuberculaire.
"Quelles régions se situent dans la partie supérieure de l'abdomen, de part et d'autre de l'épigastre ?",L'hypochondre droit et l'hypochondre gauche.
Quel est le nom de la région abdominale centrale entourant le nombril ?,La région ombilicale.
Quels sont les trois phénomènes constituant la phase buccale de la digestion ?,"La mastication, la salivation et la déglutition."
Quel est le rôle mécanique de la mastication ?,Le broiement des aliments et leur imprégnation salivaire pour former le bol alimentaire.
Quels sont les deux muscles masticateurs classés comme externes ?,Le masséter et le muscle temporal.
Quels sont les muscles masticateurs internes ?,Les ptérygoïdiens médial et latéral.
Quel est le débit quotidien moyen de la sécrétion salivaire ?,"Entre $1$ et $1,5~L$ par jour."
Quelles sont les trois paires de glandes salivaires principales ?,"Les parotides, les sous-maxillaires (submandibulaires) et les sublinguales."
Quel canal excréteur relie la glande parotide à la cavité buccale ?,Le canal de Sténon.
Quel canal assure l'excrétion de la salive produite par la glande sous-maxillaire ?,Le canal de Wharton.
Quelle enzyme de la salive amorce la digestion chimique des glucides ?,L'amylase.
Quel type d'anticorps prédomine dans la salive comme première ligne de défense immunitaire ?,Les $Ig~A$.
Quels sont les principaux ions présents dans la composition de la salive ?,"Les ions $Na^{+}$, $K^{+}$ et $HCO_{3}^{-}$."
"Quel centre nerveux intègre les stimuli (odorat, goût) pour déclencher le réflexe de salivation ?",L'hypothalamus et les centres salivaires du bulbe rachidien.
Quel est l'effet d'une stimulation parasympathique sur la sécrétion salivaire ?,"Une sécrétion fluide, copieuse, riche en électrolytes et en amylase."
Quel est l'effet d'une stimulation sympathique sur la sécrétion salivaire ?,Une sécrétion visqueuse et riche en mucus.
Quelles structures ferment respectivement la cavité nasale et le larynx lors de la déglutition ?,Le palais (voile du palais) et l'épiglotte.
Quels sont les trois segments constitutifs du pharynx ?,"Le nasopharynx (rhinopharynx), l'oropharynx et le laryngopharynx."
Quelles sont les dimensions moyennes (longueur et largeur) de l'œsophage ?,Environ $25~cm$ de long sur $2~cm$ de large.
Par quel orifice l'œsophage débouche-t-il dans l'estomac ?,Le cardia.
Comment appelle-t-on l'onde séquentielle de contraction musculaire permettant le transport des aliments dans l'œsophage ?,Le péristaltisme.
Dans quelles régions abdominales l'estomac est-il principalement situé ?,L'hypochondre gauche et l'épigastre.
Quelles sont les trois couches constitutives de la paroi de l'estomac ?,"Le péritoine, la couche musculaire et la couche muqueuse."
En quoi le bol alimentaire est-il transformé suite au brassage gastrique ?,En chyme.
Quel est l'ordre de rapidité d'évacuation gastrique des macronutriments (du plus rapide au plus lent) ?,Glucides < Protéines < Lipides.
Quelles cellules gastriques produisent l'acide chlorhydrique ($HCl$) ?,Les cellules du corps et du fundus.
Quel est le rôle de l'acidité ($pH$ entre $1$ et $4$) dans l'estomac ?,Faciliter l'action de la pepsine et assurer un rôle antimicrobien.
"Quelle enzyme, activée par le $HCl$, est responsable de la dégradation des protéines dans l'estomac ?",La pepsine (issue du pepsinogène).
"Quelle hormone, produite par les cellules de l'antre, stimule la sécrétion de $HCl$ ?",La gastrine.
Comment s'appelle la phase de régulation gastrique déclenchée par la vue ou l'odeur des aliments via le nerf vague ($X$) ?,La phase céphalique.
Citez deux substances inhibitrices de la sécrétion gastrique intervenant lors de la phase intestinale.,"La sécrétine, le VIP (peptide vasoactif intestinal) ou la somatostatine."
Quelle est la plus grosse glande du corps humain ?,Le foie.
De combien de lobes le foie est-il constitué selon la segmentation anatomique ?,Huit lobes.
Quelle est la particularité de la vascularisation afférente du foie ?,Elle est double : artérielle (artère hépatique) et veineuse (veine porte).
Quel est le rôle des cellules de Kupffer dans le foie ?,La détoxification par filtrage du sang et dégradation des molécules (mécanisme cellulaire).
Comment appelle-t-on le stockage du glucose sous forme de glycogène dans le foie ?,Le rôle glycogénique (ou glycogénogenèse).
"Quelle protéine plasmatique majeure, responsable de la pression oncotique, est synthétisée par le foie ?",L'albumine.
Quelle substance jaune et liposoluble résulte de la dégradation de l'hème avant son passage dans le foie ?,La bilirubine libre (non conjuguée).
Quelle enzyme hépatique permet la transformation de la bilirubine libre en bilirubine conjuguée hydrosoluble ?,La glycuronyl-transférase.
En quoi la bilirubine est-elle transformée par les bactéries intestinales avant d'être éliminée dans les selles ?,En stercobilinogène (puis stercobiline).
Quel volume de bile le foie sécrète-t-il environ par jour ?,Entre $700$ et $1500~mL$ par jour.
Quels sont les deux canaux biliaires qui s'unissent pour former le canal cholédoque ?,Le canal hépatique commun et le canal cystique.
Où la bile est-elle stockée entre les phases de digestion ?,Dans la vésicule biliaire.
Quelles sont les trois parties anatomiques du pancréas ?,"La tête, le corps et la queue."
Quelles hormones sont sécrétées par les îlots de Langerhans du pancréas ?,"L'insuline, le glucagon et la somatostatine."
Quel est l'effet principal de l'insuline sur la glycémie ?,Elle est hypoglycémiante.
Comment le glucagon augmente-t-il le taux de glucose sanguin ?,En favorisant la glycogénolyse (libération du glucose à partir du glycogène).
Quelles sont les deux principales enzymes protéolytiques du suc pancréatique ?,La trypsine et la chymotrypsine.
Quel canal pancréatique principal fusionne avec le cholédoque au niveau de l'ampoule de Vater ?,Le canal de Wirsung.
Quel sphincter régule le passage de la bile et du suc pancréatique dans le duodénum ?,Le sphincter d'Oddi.
Quelles sont les trois parties de l'intestin grêle ?,"Le duodénum, le jéjunum et l'iléon."
Quelle structure marque la fin de l'iléon et l'entrée dans le gros intestin ?,La valvule iléo-caecale.
Comment s'appellent les replis de la muqueuse intestinale qui augmentent la surface d'absorption ?,Les valvules conniventes et les villosités intestinales.
Quelles sont les six parties principales du gros intestin (côlon) ?,"Le caecum, le côlon ascendant, le côlon transverse, le côlon descendant, le sigmoïde et le rectum."
Quelle est la fonction majeure du gros intestin concernant les résidus de digestion ?,"L'absorption de l'eau et des électrolytes, et le stockage des selles."
Quelles artères assurent la vascularisation du gros intestin ?,Les artères mésentériques supérieure et inférieure.
Quels sont les deux feuillets constitutifs du péritoine ?,Le feuillet pariétal (parois) et le feuillet viscéral (organes).
Quels organes se trouvent dans le compartiment supra-mésocolique de la cavité péritonéale ?,"L'estomac, le foie et la rate."
Comment définit-on le métabolisme ?,C'est l'ensemble des réactions biochimiques de synthèse (anabolisme) et de dégradation (catabolisme).
Quelles sont les conditions requises pour mesurer le métabolisme basal (DER) ?,"Sujet sain, éveillé, relâchement musculaire, à jeun depuis $24~h$, neutralité thermique ($20-25^{\circ}C$)."
Quelle est la valeur énergétique d'un gramme de glucides ?,$4~kcal/g$.
Quelle est la valeur énergétique d'un gramme de lipides ?,$9~kcal/g$.
Quel pourcentage des apports énergétiques journaliers doit idéalement provenir des glucides ?,Environ $50$ %.
Quel nutriment est le principal combustible pour la production d'ATP dans la plupart des cellules ?,Le glucose.
Quel volume d'eau est absorbé quotidiennement par l'intestin grêle selon le bilan hydrique ?,Environ $8000~mL$ par $24~h$.
Quel est le volume moyen de liquide perdu dans les selles chaque jour ?,$100~mL$.