Définissez l'eupnée.,"Respiration normale au repos, sans utilisation de muscles accessoires ni signes de détresse respiratoire."
Quelle est la différence entre la polypnée et la tachypnée selon le cours ?,"La polypnée associe une fréquence respiratoire ($FR$) augmentée avec un volume courant ($V_T$) diminué, tandis que la tachypnée garde un $V_T$ normal."
Comment appelle-t-on la gêne respiratoire survenant en position de décubitus ?,L'orthopnée.
Définition de la platypnée.,"Dyspnée survenant en position assise ou debout, souvent associée à une orthodéoxie."
Jusqu'à quel âge la respiration est-elle exclusivement nasale chez le nouveau-né ?,Jusqu'à $3$ ou $4$ mois de vie.
Quels sont les trois segments du pharynx ?,"Le nasopharynx, l'oropharynx et le laryngopharynx (ou hypopharynx)."
Quel est le rôle principal du larynx ?,"Organe de la phonation, réflexe de toux et protection des voies aériennes."
Quels nerfs assurent l'innervation des cordes vocales ?,Les nerfs récurrents.
Comment se nomme la zone de bifurcation de la trachée ?,La carène.
Pourquoi l'intubation sélective survient-elle plus souvent dans la bronche souche droite ?,"Car elle est plus large, plus courte et plus verticale que la gauche."
Quelle structure sépare la face antérieure (cartilagineuse) de la face postérieure (musculaire) de la trachée ?,La membraneuse (paroi postérieure).
Nommez les deux feuillets de la plèvre.,Le feuillet viscéral et le feuillet pariétal.
Combien de lobes possède le poumon droit ?,"Trois (supérieur, moyen et inférieur)."
Combien de lobes possède le poumon gauche ?,Deux (supérieur et inférieur).
Qu'est-ce que la lingula ?,La partie inférieure du lobe supérieur du poumon gauche.
Quelle est la surface totale d'échange alvéolo-capillaire chez l'adulte ?,Entre $50$ et $100$ $m^{2}$ (souvent cité $70$ $m^{2}$).
Quelle est l'épaisseur approximative de la barrière gaz-sang ?,"$0,3$ $\mu m$."
Quel type de pneumocyte est responsable de la sécrétion du surfactant ?,Le pneumocyte de type II.
Quel est le rôle du surfactant alvéolaire ?,Abaisser la tension superficielle pour empêcher le collapsus des alvéoles.
Quelles générations de l'arbre bronchique constituent la zone de conduction (espace mort) ?,Les $16$ premières générations (de la trachée aux bronchioles terminales).
Quel est le volume approximatif de l'espace mort anatomique ?,$150$ mL.
Quel est le muscle inspiratoire principal ?,Le diaphragme.
Pourquoi l'inspiration est-elle qualifiée de phénomène 'actif' ?,Car elle nécessite la contraction de muscles (diaphragme et intercostaux externes).
L'expiration normale au repos est un phénomène _____.,Passif (par relâchement musculaire).
Citez deux muscles inspiratoires accessoires.,Les scalènes et le sterno-cléïdo-occipito-mastoïdien (SCM).
Quelle est la valeur de la $PO_{2}$ dans l'air ambiant au niveau de la mer ?,"$159$ mmHg ($0,21 \times 760$)."
Quelle est la valeur de la $PO_{2}$ dans les voies respiratoires trachéales et pourquoi est-elle plus basse que l'air ambiant ?,"$149$ mmHg, car l'air est humidifié (pression de vapeur d'eau de $47$ mmHg)."
La quantité de gaz traversant un tissu est _____ proportionnelle à son épaisseur.,Inversement.
Quel système vasculaire assure l'oxygénation propre du tissu pulmonaire ?,La circulation bronchique.
Quels sont les deux facteurs à l'origine de la force de rétraction du poumon ?,Les fibres élastiques ($50\%$) et la tension superficielle ($50\%$).
Quel système nerveux régule le diamètre des voies aériennes ?,Le Système Nerveux Autonome (SNA).
Où se situe le centre respiratoire responsable du rythme de base de la ventilation ?,Le groupe respiratoire dorsal (GRD) dans le tronc cérébral.
Quelle est la fonction du centre pneumotaxique ?,Il exerce une action inhibitrice sur l'inspiration pour contrôler le volume et la fréquence.
Quel centre provoque le 'Gasping' (respiration pré-mortem) ?,Le centre apneustique.
Quelle est l'origine spinale des nerfs phréniques ?,"Les racines $C_{3}$, $C_{4}$ et $C_{5}$ (principalement $C_{4}$)."
À quel stimulus les chémorécepteurs centraux sont-ils directement sensibles ?,À la concentration en ions $H^{+}$ dans le liquide céphalo-rachidien ($LCR$).
Quelles sont les trois variables stimulant les chémorécepteurs périphériques (carotidiens) ?,"Baisse de la $PaO_{2}$, baisse du $pH$ et hausse de la $PaCO_{2}$."
À partir de quel seuil de $PaO_{2}$ la réponse des chémorécepteurs périphériques devient-elle importante ?,En dessous de $100$ mmHg (réponse maximale sous $50$ mmHg).
Définissez le volume courant ($V_{T}$ ou $V_{tidal}$).,Volume d'air mobilisé lors d'une respiration normale au repos (environ $500$ mL).
Qu'est-ce que le Volume de Réserve Inspiratoire ($VRI$) ?,Volume maximal pouvant être inspiré en plus du $V_{T}$ lors d'une inspiration forcée.
Qu'est-ce que le Volume Résiduel ($VR$) ?,Volume d'air restant dans les poumons à la fin d'une expiration forcée.
Formule de la Capacité Vitale ($CV$).,$CV = V_{T} + VRI + VRE$.
Quelle capacité pulmonaire représente le volume d'air restant après une expiration normale ?,La Capacité Résiduelle Fonctionnelle ($CRF$).
Quel test permet d'étudier la capacité de diffusion à travers la membrane alvéolo-capillaire ?,La DLCO (Diffusion Libre du $CO$).
Quel rapport $VEMS/CV$ définit un syndrome obstructif ?,$< 70\%$.
"Selon la Loi de Henry, la quantité de gaz dissous est proportionnelle à _____.",La pression partielle de ce gaz.
Quelle quantité d'$O_{2}$ est transportée sous forme dissoute pour chaque mmHg de $PO_{2}$ ?,"$0,003$ mL d'$O_{2}$ / $100$ mL de sang."
Combien d'$O_{2}$ un gramme d'hémoglobine peut-il fixer au maximum ?,"$1,39$ mL d'$O_{2}$."
Qu'est-ce que l'effet Bohr ?,"Le déplacement de la courbe de dissociation de l'Hb vers la droite par l'acidité et le $CO_{2}$, facilitant le relargage de l'$O_{2}$ aux tissus."
Quelles sont les trois formes de transport du $CO_{2}$ dans le sang ?,"Dissous ($5-7\%$), Bicarbonates ($90\%$) et composés carbaminés ($5\%$)."
Quelle enzyme catalyse la formation de l'acide carbonique dans le globule rouge ?,L'anhydrase carbonique.
Qu'est-ce que l'effet Hamburger (phénomène de dérive des chlorures) ?,L'entrée d'ions $Cl^{-}$ dans le globule rouge pour maintenir la neutralité électrique lors de la sortie des $HCO_{3}^{-}$.
Qu'est-ce que l'effet Haldane ?,L'oxygénation du sang dans les poumons facilite le relargage du $CO_{2}$.
Quel mécanisme de défense nettoie les voies respiratoires supérieures des particules ?,Le système muco-ciliaire (cils et mucus).
Quelle cellule assure la défense immunitaire au niveau de la surface alvéolaire ?,Le macrophage alvéolaire.
Comment évolue la capacité vitale avec le vieillissement ?,Elle diminue progressivement en raison de la perte d'élasticité et de la réduction de la cage thoracique.
Décrivez la Zone 1 de West (distribution du débit sanguin).,"Zone de sommet où la pression alvéolaire est supérieure à la pression artérielle ($PA > Pa > Pv$), peu perfusée."
Quelle zone de West est constamment perfusée et correspond à la base du poumon ?,La Zone 3 ($Pa > Pv > PA$).
Comment définit-on l'espace mort physiologique ?,C'est la somme de l'espace mort anatomique et de l'espace mort alvéolaire (unités ventilées mais non perfusées).
Quel est le temps de transit d'une hématie dans le réseau capillaire pulmonaire ?,"Environ $0,75$ s."