Quel est l'objectif premier du droit dans le cadre de l'exercice infirmier selon l'introduction du cours ?,Il sert de cadre de sécurisation pour protéger les patients et reconnaître les compétences professionnelles.
Comment se nomme la structure hiérarchique qui organise l'ensemble des règles juridiques selon leur valeur ?,La Pyramide de Kelsen.
Quel bloc de la hiérarchie des normes garantit le respect de la dignité humaine et de l'intégrité du corps ?,Le bloc de constitutionnalité.
À quel bloc appartiennent les directives européennes relatives à la reconnaissance des diplômes infirmiers ?,Le bloc de conventionalité.
Quelle loi de 2025 a redéfini les contours de la profession en consacrant le raisonnement clinique infirmier ?,"La loi du 27 juin 2025, dite loi infirmière."
"Dans la hiérarchie des normes, quelle est la valeur juridique des protocoles et procédures internes d'un établissement ?",Ils sont des actes administratifs subordonnés aux normes supérieures.
Quel ordre de juridiction est compétent pour les litiges opposant des personnes privées ou pour les infractions pénales ?,L'ordre judiciaire.
Quel ordre juridictionnel traite les actions en responsabilité mettant en cause les établissements publics de santé ?,L'ordre administratif.
De quel ordre juridictionnel relèvent les chambres disciplinaires de l'Ordre des infirmiers ?,L'ordre administratif.
"Vrai ou Faux : Les responsabilités pénale, civile, administrative et disciplinaire sont mutuellement exclusives.","Faux, elles sont autonomes et cumulables pour un même fait."
Quel principe constitutionnel impose qu'aucun acte de soins ne puisse être réalisé sans l'accord préalable du patient ?,Le respect de l'intégrité du corps humain.
"Selon l'article L.1111-2 du CSP, sur quels éléments doit porter l'information délivrée au patient ?","Sur les investigations, traitements, risques fréquents ou graves, alternatives et conséquences d'un refus."
À qui incombe la charge de la preuve concernant la délivrance de l'information au patient en cas de litige ?,Au professionnel ou à l'établissement de santé.
Quel est l'adage juridique concernant l'exigence de traçabilité des soins ?,Ce qui n'est pas tracé est juridiquement présumé non fait.
Le consentement du patient aux soins est défini par la loi comme étant libre et _____.,éclairé.
Sous quelle condition un médecin peut-il délivrer des soins indispensables à un mineur malgré le refus des parents ?,Si ce refus risque d'entraîner des conséquences graves pour la santé du mineur.
Quelles sont les deux exceptions légales permettant de se dispenser du recueil du consentement du patient ?,L'urgence ou l'impossibilité d'informer.
"Selon l'article L.1110-4 du CSP, que couvre le secret professionnel ?",L'ensemble des informations concernant la personne venues à la connaissance du professionnel.
Sous quelle condition stricte le secret partagé est-il autorisé entre professionnels ?,Ils doivent participer à la prise en charge et l'échange doit être strictement nécessaire à la coordination des soins.
Quelle est la sanction encourue pour violation du secret professionnel selon le CSP ?,"Un an d'emprisonnement et $15\,000$ euros d'amende."
Le secret professionnel perdure-t-il après le décès d'un patient ?,"Oui, il présente un caractère permanent sauf exceptions légales pour les ayants droit."
Quelle était la conception de la profession infirmière dans l'ancienne version de l'article L.4311-1 du CSP ?,Une conception technique et subordonnée centrée sur l'exécution d'actes prescrits.
Comment la nouvelle loi infirmière (Art. L.4301-1) définit-elle désormais l'activité de l'infirmier ?,"Par l'analyse, l'organisation, la réalisation et l'évaluation des soins infirmiers."
Quel nouveau concept légal permet au patient de consulter un infirmier sans orientation médicale préalable ?,L'accès direct aux soins infirmiers.
Quelle est la date butoir fixée pour le basculement définitif vers le nouveau cadre réglementaire des actes infirmiers ?,Le 30 juin 2026.
Quels articles du CSP régissent actuellement l'autonomie de décision (rôle propre) de l'infirmier ?,Les articles R.4311-3 à R.4311-6.
Quelle est la différence entre un acte sur prescription simple (R.4311-7) et un acte sur protocole (R.4311-8) ?,L'acte sur protocole permet d'agir en l'absence du médecin selon des conditions préétablies et signées.
Que signifie le terme 'assistance médicale' selon l'article R.4311-10 du CSP ?,L'infirmier aide le médecin pour des actes complexes que seul ce dernier est habilité à pratiquer.
Quel bloc du Code de déontologie régit les rapports entre confrères et professionnels de santé ?,Les articles R.4312-25 à R.4312-31.
Quel est le principe fondamental de la responsabilité pénale selon l'article 121-1 du Code pénal ?,Nul n'est responsable pénalement que de son propre fait.
Une prescription médicale illégale peut-elle exonérer un infirmier de sa responsabilité pénale s'il l'exécute ?,"Non, aucun ordre hiérarchique ou médical ne peut exonérer pénalement un professionnel."
Quels sont les trois éléments cumulatifs requis pour engager la responsabilité pénale ?,"L'élément légal, l'élément matériel et l'élément moral."
Dans quel cas la faute pénale d'un infirmier est-elle qualifiée de 'caractérisée' ?,Lorsqu'il y a une violation manifestement délibérée d'une règle de sécurité ou une imprudence grave.
Quelle infraction pénale est constituée si un infirmier n'alerte pas face à un danger grave et immédiat pour un patient ?,La non-assistance à personne en danger.
Quelle est la finalité principale de la responsabilité civile ?,La réparation d'un dommage subi par une victime via l'octroi de dommages et intérêts.
"Selon l'article 1240 du Code civil, quelle est l'obligation de celui qui cause un dommage par sa faute ?",Il a l'obligation de le réparer.
Quelles sont les trois conditions cumulatives pour la mise en jeu de la responsabilité civile ?,"Une faute, un préjudice et un lien de causalité direct."
"Dans le secteur public, comment nomme-t-on la faute qui engage la responsabilité de l'établissement et non de l'agent ?",La faute de service.
Qu'est-ce qu'une 'faute personnelle détachable du service' en droit administratif ?,Une faute d'une gravité exceptionnelle ou commise hors des fonctions engageant la responsabilité propre de l'agent.
Quelle instance est compétente pour prononcer un blâme ou une radiation du tableau de l'Ordre ?,La chambre disciplinaire de l'Ordre des infirmiers.
Quel est l'objectif premier de la responsabilité disciplinaire ?,Sanctionner les manquements aux obligations déontologiques pour protéger les patients et l'image de la profession.
Cloze : Le bloc de _____ regroupe les traités internationaux et le droit de l'Union européenne.,conventionalité
Cloze : La loi du 4 mars 2002 relative aux droits des malades appartient au bloc de _____.,légalité
Quelle est la définition juridique de l'infirmier selon le nouveau paradigme de 2025 ?,Un professionnel de santé autonome responsable de ses choix cliniques et de l'évaluation des soins.
Pourquoi la traçabilité est-elle considérée comme un élément central de la défense pénale ?,Elle permet de démontrer que l'analyse clinique était adaptée et que les alertes ont été données.
Vrai ou Faux : Un infirmier salarié est toujours civilement responsable des dommages causés à un tiers.,"Faux, c'est généralement l'employeur (commettant) qui est civilement responsable du fait de son préposé."
Quel principe juridique impose à l'infirmier d'analyser la pertinence d'une consigne médicale avant de l'appliquer ?,Le devoir de discernement professionnel.
Sur quel fondement l'ordre administratif juge-t-il les litiges hospitaliers ?,Sur les règles du droit administratif et non du Code civil.
Quel article du Code pénal définit l'homicide involontaire par maladresse ou négligence ?,L'article 221-6 du Code pénal.
Quelle est la différence majeure entre l'élément moral d'un crime et celui d'une faute professionnelle infirmière type ?,La faute infirmière est généralement non intentionnelle (imprudence ou négligence).
Terme : Loi du 4 mars 2002,Définition : Loi fondatrice consacrant les droits des patients à l'information et au consentement éclairé.
Terme : Conseil d'État,"Définition : Juridiction suprême de l'ordre administratif, juge de cassation pour les décisions ordinales."
Comment l'infirmier doit-il réagir face à un refus de soins d'un patient apte ?,Il doit respecter le refus tout en informant le patient des conséquences et en traçant le dialogue.
Qui est habilité à délivrer les informations nécessaires à la famille en cas de pronostic grave ?,Seul un médecin est habilité à délivrer ces informations.
Qu'est-ce qu'une mesure de protection juridique avec représentation ?,Un régime où un tuteur prend les décisions pour la personne si elle n'est pas apte à exprimer sa volonté.
"Cloze : Le non-respect du secret professionnel expose l'infirmier à des sanctions pénales, civiles et _____.",disciplinaires
Quel est le rôle propre infirmier selon l'article R.4311-3 ?,"Identifier les besoins, poser un diagnostic infirmier et mettre en œuvre les soins nécessaires sans ordre médical."
Comment sont classés les actes infirmiers dans le décret de 2004 ?,"Selon la nature du lien avec la prescription médicale (rôle propre, prescription, protocole)."
Quelle spécialité infirmière est régie par l'article R.4311-12 du CSP ?,L'Infirmier Anesthésiste (IADE).
Quels sont les produits que l'infirmier peut prescrire selon l'article R.4311-5-1 ?,"Des dispositifs médicaux, des substituts nicotiniques ou certains vaccins."
En quoi consiste l'obligation de 'DPC' citée dans le Code de déontologie ?,Le Développement Professionnel Continu ou l'obligation de mise à jour des connaissances.
Quel principe déontologique interdit à l'infirmier de nuire à la réputation d'un collègue ?,Le devoir de confraternité (interdiction de la calomnie).
Vrai ou Faux : La responsabilité disciplinaire peut être engagée même sans dommage pour le patient.,"Vrai, car elle sanctionne la violation d'une règle déontologique en soi."
Quel article du Code civil traite de la responsabilité pour négligence ou imprudence ?,L'article 1241 du Code civil.
Qu'est-ce qu'une 'faute de service' en milieu hospitalier public ?,Un défaut d'organisation ou une erreur technique commise par un agent sans intention malveillante.