Quels sont les trois objectifs principaux de l'hémostase ?,"La prévention des saignements spontanés, l'arrêt des hémorragies et le maintien de la fluidité sanguine."
Quelles sont les trois étapes interdépendantes du processus d'hémostase ?,"L'hémostase primaire, la coagulation plasmatique et la fibrinolyse."
Comment appelle-t-on l'agrégat plaquettaire formé lors de l'hémostase primaire ?,Le thrombus blanc.
Quelle est la première étape (temps vasculaire) de l'hémostase primaire suite à une brèche ?,Une vasoconstriction réflexe quasi-immédiate.
Quelle protéine assure l'adhésion des plaquettes au sous-endothélium via le récepteur $GPIb-IX-V$ ?,Le facteur de von Willebrand ($VWF$).
"Outre le $VWF$, quel constituant du sous-endothélium joue un rôle majeur dans l'adhésion plaquettaire ?",Le collagène.
Comment appelle-t-on le changement de distribution des phospholipides membranaires lors de l'activation plaquettaire ?,Le flip-flop des phospholipides.
Quel type de phospholipides s'expose à la surface externe de la plaquette pour créer une surface procoagulante ?,Les phospholipides anioniques.
Quels sont les deux principaux types de granules libérés par les plaquettes activées ?,Les granules denses et les granules alpha.
Quel puissant agoniste de l'activation plaquettaire est synthétisé à partir de l'acide arachidonique ?,Le thromboxane $A2$ ($TXA2$).
Quelle glycoprotéine change de conformation pour fixer le fibrinogène et permettre l'agrégation ?,Le complexe $\alpha IIb\beta 3$ (ou $GPIIbIIIa$).
Quel ion est indispensable pour que la glycoprotéine $\alpha IIb\beta 3$ puisse fixer le fibrinogène ?,Le calcium ($Ca^{2+}$).
Quel complexe enzymatique initie la cascade de la coagulation physiologique ?,Le complexe Facteur Tissulaire ($FT$) et Facteur $VIIa$.
"Quelle enzyme est le pivot central de la cascade de coagulation, transformant le fibrinogène en fibrine ?",La thrombine (Facteur $IIa$).
Quels sont les deux cofacteurs activés par la thrombine lors de la phase d'amplification ?,Le Facteur $Va$ et le Facteur $VIIIa$.
Quels éléments constituent le complexe 'ténase' ?,"Les Facteurs $IXa$, $VIIIa$, les phospholipides et le calcium."
Quels éléments constituent le complexe 'prothrombinase' ?,"Les Facteurs $Xa$, $Va$, les phospholipides et le calcium."
Quel facteur stabilisé par la thrombine permet de créer un réseau de fibrine insoluble ?,Le Facteur $XIIIa$.
Quel inhibiteur physiologique régule la coagulation dès l'étape d'initiation ?,Le $TFPI$ (Tissue Factor Pathway Inhibitor).
Quelles sont les deux cibles principales de l'antithrombine ($AT$) ?,La thrombine (Facteur $IIa$) et le Facteur $Xa$.
Quels cofacteurs de la coagulation sont inactivés par le système de la Protéine $C$ activée et de la Protéine $S$ ?,Les Facteurs $Va$ et $VIIIa$.
Quelle enzyme est responsable de la lyse du caillot de fibrine ?,La plasmine.
Quelle molécule active le plasminogène en plasmine ?,L'activateur tissulaire du plasminogène ($tPA$).
Quel produit de dégradation de la fibrine indique qu'un caillot stable a été formé puis lysé ?,Les D-Dimères.
Quel anticoagulant est contenu dans les tubes de prélèvement à bouchon bleu pour l'hémostase ?,Le citrate de sodium.
Quel est le ratio habituel de mélange entre le sang et le citrate dans un tube de prélèvement ?,9 volumes de sang pour 1 volume de citrate.
Pourquoi un sous-remplissage du tube citraté peut-il fausser les résultats de coagulation ?,"L'excès de citrate libre va chélater le calcium ajouté lors du test, allongeant artificiellement les temps."
"Quel type de plasma est utilisé pour la majorité des tests de coagulation (TP, TCA, Fibrinogène) ?",Le Plasma Pauvre en Plaquettes ($PPP$).
Quelle est l'influence du froid ($4^{\circ}C$) sur le Facteur $VII$ lors de la conservation du tube ?,Le froid peut provoquer une activation artéfactuelle du Facteur $VII$.
Quelle est la durée de stabilité maximale du Facteur $VIII$ à température ambiante ?,Environ 4 heures.
Qu'explore le Temps de Quick (exprimé en Taux de Prothrombine ou TP) ?,La voie extrinsèque et la voie commune.
Quels sont les facteurs explorés spécifiquement par le TP ?,"Les Facteurs $II$, $V$, $VII$, $X$ et le fibrinogène."
Qu'explore le Temps de Céphaline + Activateur (TCA) ?,La voie intrinsèque et la voie commune.
Quels sont les facteurs explorés spécifiquement par le TCA (hors voie commune) ?,"Les Facteurs $VIII$, $IX$, $XI$ et $XII$."
Quelle est l'utilité principale de l'INR ($International \ Normalized \ Ratio$) ?,La surveillance biologique exclusive des patients sous traitement par Anti-Vitamine $K$ ($AVK$).
Comment s'appelle la méthode de référence pour le dosage du fibrinogène ?,La méthode de Clauss.
Quelle est la valeur normale du taux de fibrinogène chez l'adulte ?,Entre $2$ et $4$ $g/L$.
Quel test permet de distinguer un déficit en facteur d'une présence d'inhibiteur lors d'un TCA allongé ?,L'épreuve de correction (ou mélange avec un plasma normal).
Quel mécanisme d'action définit l'aspirine en tant qu'antiagrégant ?,"L'inhibition irréversible de la cyclo-oxygénase 1 ($COX1$), bloquant la synthèse de $TXA2$."
Quelle est la cible moléculaire du Clopidogrel (Plavix) sur la plaquette ?,Le récepteur à l'ADP de type $P2Y12$.
Comment l'héparine exerce-t-elle son action anticoagulante ?,Elle potentialise l'action inhibitrice de l'antithrombine sur la thrombine et le Facteur $Xa$.
Quelle est la principale différence d'élimination entre les $HNF$ et les $HBPM$ ?,"Les $HNF$ ont une élimination principalement extra-rénale, tandis que les $HBPM$ sont éliminées par voie rénale."
Quel est le test de référence pour surveiller l'efficacité d'une Héparine de Bas Poids Moléculaire ($HBPM$) ?,La mesure de l'activité anti-facteur $Xa$.
Quel test biologique permet de surveiller une Héparine Non Fractionnée ($HNF$) administrée en continu ?,"Le $TCA$ (avec un ratio cible souvent de $1,5$ à $3$ fois le témoin) ou l'activité anti-$Xa$."
Qu'est-ce que la Thrombopénie Induite par l'Héparine ($TIH$) de type $II$ ?,Une complication immuno-allergique grave due à des anticorps dirigés contre le complexe Héparine-Facteur Plaquettaire $4$ ($FP4$).
À partir de quel jour de traitement par héparine le risque de $TIH$ devient-il significatif ?,À partir du 5ème jour ($J5$).
Quel score clinique permet d'évaluer la probabilité d'une $TIH$ ?,Le score des $4T$.
Quelle est la conduite à tenir immédiate en cas de forte suspicion de $TIH$ ?,L'arrêt immédiat de toute forme d'héparine et l'instauration d'un anticoagulant de substitution.
Quel est le mécanisme d'action des Anti-Vitamine $K$ ($AVK$) ?,"L'inhibition de la régénération de la vitamine $K$, empêchant la $\gamma$-carboxylation des facteurs vitamine $K$ dépendants."
Quels sont les quatre facteurs de coagulation dits 'vitamine $K$ dépendants' ?,"Les Facteurs $II$, $VII$, $IX$ et $X$."
Quelles protéines anticoagulantes physiologiques sont également vitamine $K$ dépendantes ?,La Protéine $C$ et la Protéine $S$.
"Quelle est la zone thérapeutique de l'INR pour la majorité des indications (FA, MTEV) ?","Un INR compris entre $2,0$ et $3,0$."
Quel est l'antidote spécifique des $AVK$ en cas de surdosage non urgent ?,La vitamine $K1$ par voie orale ou intraveineuse.
Quels sont les deux types d'Anticoagulants Oraux Directs ($AOD$) selon leur cible ?,Les inhibiteurs directs de la thrombine ($FIIa$) et les inhibiteurs directs du Facteur $Xa$.
Citez un exemple d'inhibiteur direct du Facteur $Xa$ ($AOD$).,Le Rivaroxaban (Xarelto) ou l'Apixaban (Eliquis).
Quel $AOD$ agit comme un inhibiteur direct de la thrombine ?,Le Dabigatran (Pradaxa).
Une surveillance biologique de routine (TP/INR/TCA) est-elle nécessaire pour les $AOD$ ?,"Non, les $AOD$ ne nécessitent pas de surveillance biologique systématique."
Quelle précaution biologique est indispensable avant d'instaurer ou de renouveler un $AOD$ ?,L'évaluation de la fonction rénale (clairance de la créatinine).
Quel est l'antidote spécifique du Dabigatran ?,L'Idarucizumab (Praxbind).
Pourquoi ne peut-on pas doser l'activité anti-$Xa$ d'une héparine chez un patient prenant déjà un $AOD$ anti-$Xa$ ?,"Parce que l'anti-$Xa$ oral va s'additionner à l'effet de l'héparine sur le test, faussant le résultat."
Quelle pathologie constitutionnelle de la coagulation est liée à un déficit en Facteur $VIII$ ?,L'hémophilie $A$.
Quelle pathologie constitutionnelle de la coagulation est liée à un déficit en Facteur $IX$ ?,L'hémophilie $B$.
Quel est le rôle du temps d'occlusion plaquettaire ($PFA-100/200$) ?,"C'est un test global d'exploration de l'hémostase primaire, plus standardisé que le temps de saignement."
Comment définit-on une thrombopénie ?,Un nombre de plaquettes inférieur à $150$ $G/L$.
Quel est l'impact d'une hémolyse sur les tests de coagulation ?,Elle libère des phospholipides cellulaires pouvant raccourcir artificiellement les temps de coagulation.
Quelle molécule est utilisée pour neutraliser l'effet de l'héparine non fractionnée en urgence ?,Le sulfate de protamine.
Quel examen permet de suivre la 'reperméabilisation' du vaisseau après la cicatrisation ?,La fibrinolyse.
Qu'indique une augmentation conjointe du $TCA$ et du $TP$ ?,"Une anomalie touchant la voie commune ($X$, $V$, $II$, $I$) ou des déficits multiples."
Quelle est la cible d'INR habituelle pour un patient porteur d'une valve cardiaque mécanique ?,"Un INR cible souvent plus élevé, par exemple entre $2,5$ et $3,5$."
Quelle est la principale contre-indication absolue à l'utilisation des $HBPM$ et des $AOD$ ?,L'insuffisance rénale sévère (clairance $< 15$ ou $30$ $mL/min$ selon la molécule).