Comment définit-on l'osmolalité ?,La quantité d'osmoles (molécules dissociées) par kilogramme de solvant.
Quelle est la définition de l'osmolarité ?,La quantité d'osmoles (molécules dissociées) par litre de solution.
Le phénomène naturel correspondant au passage d'eau du milieu moins concentré vers le milieu plus concentré est appelé _____.,l'osmose
Quelle structure est indispensable pour que le phénomène d'osmose se produise ?,Une membrane semi-perméable.
Définition : Tonicité,La concentration d'un soluté dans une solution.
Qu'est-ce qu'un gradient de concentration ?,La différence de concentration entre deux milieux.
La pression nécessaire pour empêcher le passage d'eau à travers une membrane sous l'effet d'un gradient est la _____.,pression osmotique ($\pi$)
Quel ion régit principalement la pression osmotique plasmatique ?,Le sodium ($\text{Na}^{+}$).
De quelle manière s'effectuent les transferts d'eau entre les différents secteurs de l'organisme ?,De manière passive.
"Physiologiquement, à quelle substance la paroi vasculaire est-elle imperméable ?",Les protéines.
Quelle pression est générée sur la paroi vasculaire par la contraction myocardique ?,La pression hydrostatique.
Quel est l'effet de la pression hydrostatique sur le mouvement de l'eau capillaire ?,Elle favorise la sortie d'eau des capillaires.
Quelle force empêche la sortie d'eau des capillaires grâce aux protéines plasmatiques ?,La pression oncotique.
De quoi est composé le glycocalyx ?,De glycoprotéines.
Quelle est la fonction principale du glycocalyx au niveau vasculaire ?,Réguler la perméabilité vasculaire.
Quel modèle physiologique est nuancé ou révisé par l'intégration du glycocalyx ?,L'équilibre de Starling.
Quelle pathologie grave peut entraîner une dégradation ou destruction du glycocalyx ?,Le sepsis (ou choc septique).
L'hyperperméabilité vasculaire est une conséquence directe de la _____ du glycocalyx.,dégradation (ou destruction)
L'oedème résulte d'un déséquilibre dans l'équation de _____.,Ernest Starling
Par quelles deux forces le flux trans-capillaire est-il régi ?,Les forces hydrostatiques et oncotiques.
Quel est le risque iatrogène d'un remplissage vasculaire trop agressif ?,La dégradation du glycocalyx.
Citez les trois types de produits de remplissage mentionnés pour le choix thérapeutique.,"Cristalloïdes, Plasma Frais Congelé (PFC) et Albumine."
Quelle thérapeutique spécifique est utilisée pour traiter l'HTIC chez un enfant cérébrolésé ?,L'osmothérapie.
"Lors de l'osmose, les transferts se font toujours du milieu le _____ vers le milieu le plus concentré.",moins concentré
Quel type de transport membranaire nécessite de l'énergie sous forme d'ATP ?,Le transport actif.
Comment appelle-t-on le mouvement d'un solvant à travers une membrane ?,L'osmose.
La loi de _____ décrit la relation entre le volume d'éjection systolique et la précharge cardiaque.,Frank-Starling
Quels sont les quatre éléments constitutifs du débit cardiaque mentionnés ?,"Précharge, postcharge, contractilité et fréquence cardiaque."
Quelles résistances s'opposent à l'éjection du sang par le ventricule gauche ?,Les résistances vasculaires systémiques.
Quel paramètre clinique correspond à la production d'urine ?,La diurèse.
"Selon les rappels physiologiques, quelle est la relation entre l'osmolalité et l'osmolarité dans l'organisme ?",Elles sont considérées comme égales.
La pression hydrostatique est favorisée par l'éjection générée par la _____.,contraction myocardique
Quel est le rôle de la pression oncotique vis-à-vis de l'eau dans les capillaires ?,Elle empêche la sortie d'eau des capillaires.
Quelles sont les quatre phases de la gestion des fluides évoquées par le sigle 'ROSE' dans la littérature ?,"Resuscitation, Optimization, Stabilization, Evacuation."
Terme : Glycocalyx,"Définition : Couche de glycoprotéines tapissant l'endothélium vasculaire, régulant les échanges de fluides et de solutés."
"Quel ion, en plus du sodium, est impliqué dans les mouvements électrolytiques transmembranaires ?",Le potassium ($\text{K}^{+}$) (ou le chlore $\text{Cl}^{-}$).
L'osmothérapie repose sur la création d'un _____ pour drainer l'eau hors du cerveau.,gradient osmotique
Pourquoi le glycocalyx est-il important dans le cas des grands brûlés ?,Sa dégradation entraîne une fuite capillaire massive (oedème).
"Dans le cadre du remplissage, que signifie l'expansion volémique ?",L'augmentation du volume de sang circulant dans le secteur vasculaire.
Quel est l'objectif principal du remplissage vasculaire lors d'un état de choc ?,Restaurer le débit cardiaque et l'oxygénation tissulaire.
La paroi vasculaire devient perméable aux protéines uniquement en cas de _____.,lésion endothéliale (ou dégradation du glycocalyx)
Quel état clinique inaugural est cité comme cas pratique d'étude du milieu intérieur ?,Le diabète de type 1 (T1).
Comment varie la pression oncotique si la concentration plasmatique en protéines diminue ?,"Elle diminue, favorisant la formation d'oedèmes."
Quelle force physique s'oppose à la pression oncotique au sein du capillaire ?,La pression hydrostatique.
Un soluté qui attire l'eau hors des cellules vers le secteur vasculaire est dit _____.,hypertonique
Le passage passif de solutés du milieu le plus concentré vers le moins concentré est la _____.,diffusion
Quelle est l'unité de mesure de l'osmolalité ?,L'osmole par kilogramme de solvant ($\text{osm/kg}$).
Pourquoi la natrémie est-elle le reflet de l'état d'hydratation intracellulaire ?,Car elle régit la pression osmotique plasmatique et donc les mouvements d'eau.
La destruction du glycocalyx transforme l'équilibre de Starling en favorisant la _____.,fuite de liquide vers l'interstitium
Quel paramètre est indispensable pour calculer une dose de remplissage chez l'enfant ?,Le poids du patient.