Quelle est la définition physiologique des pulsations cardiaques ?,La perception des vibrations produites par l’ondée sanguine à chaque systole dues à la distension des artères.
"Selon la théorie, comment doivent être les pouls par rapport à l'axe médian du corps ?",Ils sont théoriquement symétriques.
Quelle est la fréquence cardiaque normale d'un nouveau-né ?,$130-140$ /min.
Quelle est la fréquence cardiaque normale d'un enfant de 6 ans ?,$90$ /min.
Quelle est la fréquence cardiaque normale d'un adulte au repos ?,$60-70$ /min.
Quelle est la fréquence cardiaque normale d'une personne âgée ?,$60$ /min.
Citez trois facteurs physiologiques ou environnementaux augmentant le rythme cardiaque.,"Les efforts, les émotions, la digestion, la grossesse ou l'exposition au soleil."
Quels facteurs peuvent entraîner une diminution physiologique de la fréquence cardiaque ?,L'avancement en âge et l'entraînement sportif.
À partir de quel seuil définit-on une tachycardie ?,$> 100$ /min.
Quelle est la caractéristique de l'ECG lors d'une tachycardie sinusale ?,L'ECG ne présente aucune modification.
Citez deux causes possibles d'une tachycardie sinusale.,Une maladie infectieuse ou une hyperthermie.
Quelle modification majeure de l'ECG observe-t-on lors d'une tachycardie ventriculaire ?,L'absence d'onde P.
À partir de quel seuil définit-on une bradycardie ?,$< 50$ /min.
Quelle est la caractéristique de l'ECG lors d'une bradycardie sinusale ?,L'ECG est normal.
Citez trois causes de bradycardie sinusale.,"Le repos, la prise de $\beta$-bloquants ou un malaise vagal."
Quelles pathologies cardiaques sont associées à une bradycardie non sinusale ?,Le BAV (Bloc Auriculo-Ventriculaire) de 2ème et 3ème degré.
Qu'est-ce qu'une extrasystole ?,Une contraction prématurée suivie d’un repos compensateur.
Quelle est la caractéristique des complexes QRS lors d'une ESA (Extrasystole Atriale) ?,Les complexes QRS sont fins.
"Comment qualifie-t-on un pouls de faible amplitude et rapide, typique des états de choc ?",Un pouls filiforme.
Dans quelles conditions cliniques observe-t-on un pouls bondissant ?,En cas de septicémie ou d'insuffisance aortique.
Qu'est-ce que le pouls grimpant de Mahler ?,"Une dissociation caractérisée par une température normale et un pouls qui augmente, signe de phlébite."
Quelle pathologie est suggérée par une température élevée accompagnée d'un pouls normal ?,"Un problème de thyroïde, à l'exclusion de l'hyperthyroïdie."
Combien de temps un patient doit-il rester au repos avant la prise du pouls ?,$15$ minutes.
Quelle est la durée recommandée pour le comptage du pouls ?,$1$ minute.
Que doit-on suspecter si les pouls latéraux présentent une différence notable ?,Une maladie artérielle.
Quelle est la définition physique de la pression artérielle ($PA$) ?,"La pression régnant dans le système vasculaire à haute pression, liée à la contraction du ventricule gauche et aux résistances périphériques."
Quelle est la formule de la pression artérielle ($PA$) incluant le débit cardiaque ($Qc$) ?,$PA = Qc \times RVS$.
Comment se calcule le débit cardiaque ($Qc$) ?,$Qc = VES \times fréquence$.
Quels sont les trois facteurs déterminant les résistances vasculaires périphériques ?,"La longueur des vaisseaux, leur diamètre et la viscosité du sang."
Quelle est la relation entre les résistances vasculaires et le diamètre artériel ?,Elles sont inversement proportionnelles au diamètre.
Citez trois appareils utilisés pour la mesure indirecte de la pression artérielle.,"La manchette gonflable, le sphygmomanomètre et l'appareil pléthysmographique."
Quel est le principe physique de la mesure directe de la pression artérielle ?,La transmission hydraulique via un cathéter inséré dans l'artère.
Quelle est la règle pour déterminer la taille adaptée d'un brassard de tension ?,La largeur doit correspondre à la moitié de la distance entre l'épaule et le coude.
Quelles sont les recommandations pour le dégonflage du brassard lors d'une mesure ?,"Dégonflage progressif, lent au début puis un peu plus rapide."
Quelle est la valeur normale de la Pression Artérielle Systolique (PAS) ?,$130$ à $140$ mmHg.
Définition : Pression Artérielle Diastolique (PAD),La pression persistante dans les vaisseaux pendant la diastole.
Quelle est la valeur normale de la Pression Artérielle Diastolique (PAD) ?,$70$ à $80$ mmHg.
Donnez la formule de calcul de la Pression Artérielle Moyenne ($PAM$).,$PAM = \frac{PAS + 2 \times PAD}{3}$.
Quelle formule définit le rapport systolo-diastolique constant ?,$PAD = \frac{PAS}{2} + 10$ mmHg.
Comment la pression artérielle évolue-t-elle physiologiquement après $50$ ans ?,Elle a tendance à augmenter.
Pourquoi la pression artérielle est-elle généralement plus basse chez la femme ?,Il s'agit d'une modification physiologique liée au sexe.
Quel est l'effet de l'orthostatisme sur la pression artérielle ?,Une légère diminution lors du passage en position debout.
Qu'est-ce qu'une Hypertension Artérielle (HTA) essentielle ou primitive ?,"Une HTA sans étiologie connue, liée à la vasomotricité des vaisseaux."
À quel déséquilibre hormonal le syndrome de Conn est-il associé ?,L'hyper-aldostéronisme.
Qu'est-ce qu'un phéochromocytome ?,Une tumeur de la médullo-surrénale sécrétant de l'adrénaline et de la noradrénaline.
Quel seuil de PAS définit cliniquement une hypotension artérielle ?,$PAS < 90$ mmHg.
Quelles sont les deux causes principales de collapsus vasculaire citées ?,L'hémorragie et l'allergie.
Comment la digestion affecte-t-elle la pression artérielle ?,Elle provoque une augmentation de la pression artérielle.
Quel est le risque lié à un dégonflage trop lent du brassard ?,Cela prolonge inutilement le temps de garrot sur le membre.
Qu'implique une 'chute du débit cardiaque' d'origine vagale sur la tension ?,Elle entraîne une hypotension artérielle.
Quelle précaution concernant le membre choisi doit-on prendre avant de mesurer la PA ?,Le membre doit être relâché et dépourvu de garrot.
Quelle est l'influence de la longueur des vaisseaux sur les résistances vasculaires ?,Les résistances sont proportionnelles à la longueur des vaisseaux.
"Dans le calcul de la $PA$, que représente le sigle $Qc$ ?",Le débit cardiaque (lié à la volémie).
"Dans le calcul de la $PA$, que représente le sigle $RVS$ ?",Les Résistances Vasculaires Systémiques (liées au diamètre artériel).
"Lors du monitorage d'un pouls irrégulier, quel examen complémentaire est indispensable ?",L'ECG (Électrocardiogramme).
Quelle est la position recommandée pour le patient lors de la validation d'une mesure de PA ?,Couché ou assis au repos.